dataset,algorithm,avg,max,min,recall,knn,n_queries,num_measure_runs,avg_all,max_all,min_all,ef_search,M,ef_construction,ivf_nprobe
instructorxl-arxiv-768,ivf_faiss,4.036806012859364,5.5141448974609375,2.5177001953125,0.8964999999999966,10,1000,1,4.055430889129639,7.0323944091796875,2.1839141845703125,0,0,0,14
instructorxl-arxiv-768,ivf_faiss,3.629164151892885,5.052089691162109,2.2478103637695312,0.8835999999999968,10,1000,1,3.643531560897827,6.7291259765625,1.9004344940185547,0,0,0,12
instructorxl-arxiv-768,ivf_faiss,3.105161380182746,4.39453125,1.8088817596435547,0.8674999999999967,10,1000,1,3.1316652297973633,6.908655166625977,1.6868114471435547,0,0,0,10
instructorxl-arxiv-768,ivf_faiss,2.579778493791514,3.706693649291992,1.5149116516113281,0.8423999999999973,10,1000,1,2.6142051219940186,6.026983261108398,1.3277530670166016,0,0,0,8
instructorxl-arxiv-768,ivf_faiss,2.04030992568954,2.9382705688476562,1.1496543884277344,0.8015999999999983,10,1000,1,2.0805158615112305,4.7397613525390625,1.1496543884277344,0,0,0,6
instructorxl-arxiv-768,ivf_faiss,1.5183261549242395,2.224445343017578,0.8311271667480469,0.7388999999999983,10,1000,1,1.5347108840942383,3.262758255004883,0.8311271667480469,0,0,0,4
instructorxl-arxiv-768,ivf_faiss,0.9791075581251972,1.4255046844482422,0.5841255187988281,0.6029999999999991,10,1000,1,0.9843249320983887,1.6021728515625,0.5841255187988281,0,0,0,2
gist-960-euclidean,ivf_faiss,131.71218850054746,167.4795150756836,96.09460830688477,0.9992999999999999,10,1000,1,131.85068726539612,212.12315559387207,81.09641075134277,0,0,0,512
gist-960-euclidean,ivf_faiss,68.35416308173899,89.35308456420898,45.20058631896973,0.9981999999999998,10,1000,1,67.64171767234802,89.35308456420898,35.13073921203613,0,0,0,256
gist-960-euclidean,ivf_faiss,60.47625693921326,79.22005653381348,39.815425872802734,0.9972999999999996,10,1000,1,59.8715763092041,85.59942245483398,27.916669845581055,0,0,0,224
gist-960-euclidean,ivf_faiss,52.53841402104748,71.93255424499512,31.964778900146484,0.9953999999999994,10,1000,1,51.99950838088989,73.96888732910156,22.93682098388672,0,0,0,192
gist-960-euclidean,ivf_faiss,43.05207864664902,58.4254264831543,25.72464942932129,0.9913999999999988,10,1000,1,42.587384939193726,64.47839736938477,17.547130584716797,0,0,0,160
gist-960-euclidean,ivf_faiss,40.21153810809239,56.00333213806152,22.993803024291992,0.9884999999999984,10,1000,1,39.774686098098755,56.00333213806152,15.755891799926758,0,0,0,144
gist-960-euclidean,ivf_faiss,35.92863916619424,51.35321617126465,20.162343978881836,0.9844999999999979,10,1000,1,35.522892475128174,51.35321617126465,13.930082321166992,0,0,0,128
gist-960-euclidean,ivf_faiss,30.625085762845792,44.434309005737305,15.992879867553711,0.9787999999999976,10,1000,1,30.360058784484863,44.434309005737305,11.906147003173828,0,0,0,112
gist-960-euclidean,ivf_faiss,27.290339155245555,39.891958236694336,13.78011703491211,0.9715999999999969,10,1000,1,27.06152057647705,39.891958236694336,9.944915771484375,0,0,0,96
gist-960-euclidean,ivf_faiss,22.97523469489238,34.82794761657715,10.678768157958984,0.9604999999999962,10,1000,1,22.777162790298462,34.82794761657715,7.765531539916992,0,0,0,80
gist-960-euclidean,ivf_faiss,18.64521247655274,29.45399284362793,8.054971694946289,0.9441999999999956,10,1000,1,18.53126096725464,32.36031532287598,5.626678466796875,0,0,0,64
gist-960-euclidean,ivf_faiss,15.834332957412258,24.888277053833008,6.310462951660156,0.9332999999999958,10,1000,1,15.772617101669312,25.906801223754883,4.600286483764648,0,0,0,56
