dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
instructorxl-arxiv-768,pdx-bsa-decimpr,2.34999,4.24202,0.905567,0.72,18,12,10,1000,0.2,1,2.352,4.475,0.9056,0
instructorxl-arxiv-768,pdx-bsa-decimpr,2.1831,3.96774,0.889672,0.7117,16,12,10,1000,0.2,1,2.198,15.01,0.8897,0
instructorxl-arxiv-768,pdx-bsa-decimpr,2.01453,3.6854,0.870621,0.7039,14,12,10,1000,0.2,1,2.024,9.513,0.8706,0
instructorxl-arxiv-768,pdx-bsa-decimpr,1.84457,3.36564,0.864009,0.6911,12,12,10,1000,0.2,1,1.859,16.27,0.864,0
instructorxl-arxiv-768,pdx-bsa-decimpr,1.6661,2.98534,0.824448,0.6746,10,12,10,1000,0.2,1,1.667,3.061,0.8244,0
instructorxl-arxiv-768,pdx-bsa-decimpr,1.48194,2.55992,0.773966,0.6519,8,12,10,1000,0.2,1,1.497,16.23,0.774,0
instructorxl-arxiv-768,pdx-bsa-decimpr,1.28849,2.08231,0.710476,0.6267,6,12,10,1000,0.2,1,1.293,4.2,0.7105,0
instructorxl-arxiv-768,pdx-bsa-decimpr,1.07942,1.68559,0.639413,0.5793,4,12,10,1000,0.2,1,1.098,15.28,0.6394,0
instructorxl-arxiv-768,pdx-bsa-decimpr,0.842613,1.22343,0.5092,0.4861,2,12,10,1000,0.2,1,0.8479,1.405,0.5092,0
openai-1536-angular,pdx-bsa-decimpr,18.6635,30.1339,7.54741,0.5983,512,16,10,1000,0.2,1,18.82,38.39,5.101,0
openai-1536-angular,pdx-bsa-decimpr,10.0989,15.7178,4.56628,0.5969,256,16,10,1000,0.2,1,10.15,22.67,3.298,0
openai-1536-angular,pdx-bsa-decimpr,10.7725,18.2516,3.513,0.5964,224,16,10,1000,0.2,1,11.35,40.84,3.296,0
openai-1536-angular,pdx-bsa-decimpr,8.99208,14.0712,4.11458,0.5955,192,16,10,1000,0.2,1,9.169,20.28,3.159,0
openai-1536-angular,pdx-bsa-decimpr,7.96915,12.2016,3.65779,0.5949,160,16,10,1000,0.2,1,8.058,17.11,2.965,0
openai-1536-angular,pdx-bsa-decimpr,6.89015,10.4442,3.38552,0.5946,144,16,10,1000,0.2,1,6.949,14.34,2.563,0
openai-1536-angular,pdx-bsa-decimpr,6.96629,10.9394,3.0731,0.594,128,16,10,1000,0.2,1,7.206,19.91,2.53,0
openai-1536-angular,pdx-bsa-decimpr,6.00342,8.89522,3.14896,0.5931,112,16,10,1000,0.2,1,6.053,11.56,2.404,0
openai-1536-angular,pdx-bsa-decimpr,5.64679,8.62983,2.73205,0.5915,96,16,10,1000,0.2,1,5.723,12.79,2.35,0
openai-1536-angular,pdx-bsa-decimpr,4.98184,7.43976,2.59023,0.5909,80,16,10,1000,0.2,1,5.033,11.17,2.22,0
openai-1536-angular,pdx-bsa-decimpr,4.34486,6.43445,2.38078,0.5889,64,16,10,1000,0.2,1,4.382,8.16,2.059,0
openai-1536-angular,pdx-bsa-decimpr,3.94616,5.64002,2.32196,0.5872,56,16,10,1000,0.2,1,3.976,7.671,1.936,0
