dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
openai-1536-angular,pdx-bsa-dz,7.78959,12.9255,2.73956,0.970901,144,16,10,1000,0.2,1,7.948,17.49,2.508,0
openai-1536-angular,pdx-bsa-dz,7.46461,12.4089,2.52551,0.967501,128,16,10,1000,0.2,1,7.58,14.52,2.526,0
openai-1536-angular,pdx-bsa-dz,6.80389,11.0091,2.49441,0.962801,112,16,10,1000,0.2,1,6.884,13.46,2.403,0
openai-1536-angular,pdx-bsa-dz,6.04401,9.78101,2.35999,0.955901,96,16,10,1000,0.2,1,6.093,12.47,2.274,0
openai-1536-angular,pdx-bsa-dz,5.46982,8.90642,2.13375,0.948801,80,16,10,1000,0.2,1,5.544,11.58,1.987,0
openai-1536-angular,pdx-bsa-dz,4.91376,8.14984,1.81569,0.937202,64,16,10,1000,0.2,1,5.021,12.56,1.816,0
openai-1536-angular,pdx-bsa-dz,4.49329,7.27416,1.76288,0.930301,56,16,10,1000,0.2,1,4.533,9.106,1.763,0
openai-1536-angular,pdx-bsa-dz,4.1604,6.55293,1.6705,0.921701,48,16,10,1000,0.2,1,4.196,8.353,1.671,0
openai-1536-angular,pdx-bsa-dz,3.86561,5.96051,1.5866,0.911901,40,16,10,1000,0.2,1,3.91,7.763,1.587,0
openai-1536-angular,pdx-bsa-dz,3.51902,5.51247,1.51424,0.899301,32,16,10,1000,0.2,1,3.545,6.743,1.514,0
openai-1536-angular,pdx-bsa-dz,3.31784,5.22874,1.44429,0.889101,28,16,10,1000,0.2,1,3.351,6.162,1.444,0
openai-1536-angular,pdx-bsa-dz,3.20486,4.93191,1.45947,0.882701,26,16,10,1000,0.2,1,3.24,6.289,1.459,0
openai-1536-angular,pdx-bsa-dz,3.08454,4.86159,1.38363,0.877101,24,16,10,1000,0.2,1,3.208,14.19,1.384,0
openai-1536-angular,pdx-bsa-dz,2.82832,4.46096,1.34009,0.8714,22,16,10,1000,0.2,1,2.866,6.632,1.34,0
openai-1536-angular,pdx-bsa-dz,3.66077,6.48742,1.53589,0.864801,20,16,10,1000,0.2,1,3.808,14.8,1.536,0
